github_repo_url	repo_description	topics	owner_repo_name	owner_name	owner_type	organization_bio	repo_created_day	primary_language_name	license_name	is_github_pages	has_readme	has_wiki	has_merged_prs	has_issues	has_contributor_guide	has_code_of_conduct	count_of_public_forks	count_of_stars	count_of_watchers	count_distinct_contributors	count_contributions	count_commits	count_commit_comments	count_created_issues	count_pull_requests_created	count_pull_requests_reviews	count_comments_on_issues_and_pull_requests
https://github.com/cmdparkour/2019-ncov-search	示例：http://blog.51weblove.com/2019ncov/ 数据来源：http://h5.peopleapp.com/txcx/ 技术： vue。 纯前端项目，调用第三方数据接口实现功能。		cmdparkour/2019-ncov-search	cmdparkour	User		2020-02-02	Vue		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	2	2	0	0	0	0	0
https://github.com/FamilyProtector/2019_ncov_Funny	苦中作乐，收集2019年肺炎中的搞笑图片视频。		FamilyProtector/2019_ncov_Funny	FamilyProtector	User		2020-01-31		gpl-3.0	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	1	1	1	2	2	0	0	0	0	0
https://github.com/oleeener/2019-nCov			oleeener/2019-nCov	oleeener	User		2020-02-02	JavaScript		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	1	10	10	0	0	0	0	0
https://github.com/jonklaric/CoronaVirusModel	a s-e-i-r model of the spread of coronavirus in the hubei province.		jonklaric/CoronaVirusModel	jonklaric	User		2020-02-02	Python		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	3	3	0	0	0	0	0
https://github.com/linwangidd/2019nCoV_EID			linwangidd/2019nCoV_EID	linwangidd	User		2020-02-01	R		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	9	9	0	0	0	0	0
https://github.com/wooii/2019-nCoV	2019-ncov data analysis		wooii/2019-nCoV	wooii	User		2020-01-29	R		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	20	20	0	0	0	0	0
https://github.com/yangyongkang2000/2019-nCoV-Wolfram	wolfram语言实现统计可视化		yangyongkang2000/2019-nCoV-Wolfram	yangyongkang2000	User		2020-01-30	Mathematica		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	1	1	1	6	6	0	0	0	0	0
https://github.com/OBMGIS/CoronaVirusMap	this map will track the 2020 chinese corona virus. 		OBMGIS/CoronaVirusMap	OBMGIS	User		2020-01-27	JavaScript	mit	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	10	10	0	0	0	0	0
https://github.com/htso/Coronavirus_Epidemic	predict the coronavirus contagion	r, epidemics, wuhan-coronavirus-outbreak, wuhan-pneumonia, coronavirus, regression-models, coronavirus-real-time, prediction-model	htso/Coronavirus_Epidemic	htso	User		2020-01-30	R	mit	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	40	40	0	0	0	0	0
https://github.com/ncov-ic/staging			ncov-ic/staging	ncov-ic	Organization		2020-01-27	Shell		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	2	2	0	0	0	0	0
